,0
0,False
1,True
2,False
3,True
4,False
5,False
6,False
7,True
8,False
9,True
10,True
11,False
12,False
13,False
14,False
15,True
16,True
17,True
18,False
19,True
20,False
21,False
22,False
23,False
24,True
25,True
26,True
27,True
28,True
29,True
30,False
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,False
41,False
42,False
43,True
44,False
45,True
46,True
47,True
48,False
49,False
50,True
51,True
52,False
53,False
54,True
55,False
56,False
57,True
58,True
59,False
60,True
61,True
62,False
63,True
64,False
65,True
66,False
67,True
68,False
69,True
70,False
71,True
72,True
73,True
74,True
75,False
76,True
77,False
78,True
79,False
80,True
81,True
82,False
83,False
84,True
85,True
86,False
87,True
88,True
89,True
90,True
91,False
92,False
93,False
94,True
95,True
96,True
97,True
98,False
99,True
100,True
101,False
102,True
103,False
104,False
105,False
106,True
107,True
108,False
109,True
110,True
111,True
112,False
113,False
114,False
115,False
116,False
117,True
118,False
119,False
120,False
121,True
122,True
123,False
124,False
125,False
126,False
127,True
128,True
129,True
130,True
131,False
132,True
133,True
134,True
135,True
136,False
137,True
138,False
139,True
140,False
141,False
142,True
143,True
144,True
145,True
146,True
147,False
148,True
149,True
150,True
151,False
152,True
153,True
154,True
155,False
156,False
157,True
158,True
159,False
160,True
161,False
162,True
163,False
164,False
165,True
166,True
167,True
168,False
169,True
170,True
171,False
172,False
173,True
174,True
175,True
176,True
177,False
178,True
179,False
180,False
181,False
182,True
183,False
184,False
185,False
186,True
187,False
188,True
189,False
190,False
191,True
192,False
193,False
194,True
195,False
196,True
197,True
198,True
199,True
200,False
201,True
202,True
203,False
204,False
205,False
206,False
207,False
208,False
209,False
210,False
211,False
212,True
213,False
214,True
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,True
224,True
225,True
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,True
237,True
238,False
239,True
240,False
241,True
242,False
243,False
244,True
245,False
246,False
247,True
248,True
249,False
250,False
251,True
252,False
253,True
254,True
255,False
256,True
257,False
258,True
259,False
260,True
261,True
262,True
263,False
264,False
265,False
266,True
267,False
268,False
269,False
270,True
271,True
272,True
273,False
274,True
275,False
276,True
277,True
278,False
279,True
280,False
281,False
282,False
283,False
284,False
285,False
286,True
287,True
288,False
289,True
290,True
291,False
292,True
293,True
294,True
295,True
296,False
297,False
298,False
299,True
300,True
301,True
302,False
303,True
304,True
305,True
306,True
307,False
308,True
309,True
310,False
311,False
312,False
313,True
314,False
315,True
316,True
317,True
318,False
319,True
320,True
321,False
322,False
323,False
324,True
325,False
326,False
327,False
328,False
329,True
330,True
331,False
332,False
333,True
334,True
335,True
336,False
337,True
338,False
339,True
340,True
341,True
342,True
343,False
344,True
345,False
346,False
347,True
348,True
349,False
350,False
351,False
352,False
353,False
354,True
355,False
356,True
357,True
358,True
359,True
360,False
361,True
362,False
363,True
364,True
365,False
366,False
367,True
368,False
369,True
370,True
371,True
372,True
373,True
374,False
375,False
376,False
377,True
378,False
379,True
380,False
381,True
382,True
383,True
384,True
385,False
386,True
387,False
388,False
389,True
390,False
391,True
392,True
393,False
394,True
395,False
396,True
397,True
398,True
399,True
400,False
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,True
409,True
410,True
411,True
412,False
413,True
414,True
415,False
416,True
417,False
418,True
419,True
420,False
421,False
422,True
423,False
424,False
425,False
426,True
427,True
428,True
429,True
430,False
431,False
432,True
433,False
434,False
435,False
436,True
437,False
438,True
439,False
440,False
441,False
442,True
443,True
444,True
445,False
446,False
447,True
448,True
449,False
450,True
451,False
452,True
453,False
454,True
455,False
456,False
457,False
458,True
459,True
460,True
461,True
462,False
463,True
464,True
465,True
466,True
467,False
468,True
469,False
470,False
471,True
472,False
473,False
474,False
475,False
476,False
477,False
478,True
479,True
480,False
481,False
482,False
483,True
484,False
485,False
486,True
487,False
488,True
489,True
490,False
491,True
492,True
493,True
494,False
495,True
496,True
497,True
498,True
499,False
500,False
501,True
502,True
503,False
504,True
505,True
506,False
507,False
508,False
509,True
510,True
511,True
512,False
513,True
514,True
515,False
516,False
517,False
518,False
519,True
520,False
521,True
522,True
523,False
524,False
525,True
526,False
527,True
528,True
529,False
530,True
531,True
532,True
533,True
534,False
535,True
536,False
537,True
538,False
539,False
540,False
541,False
542,False
